year_month,avg_score,sentimento
2015-01,0.9346750438213348,Neutral
2015-02,0.9658492624759674,Neutral
2015-03,0.999900895357132,Neutral
2015-04,0.9855424106121063,Neutral
2015-05,0.9988321006298065,Neutral
2015-06,0.9789563238620758,Neutral
2015-07,0.9792823195457458,Neutral
2015-08,0.9745071768760681,Neutral
2015-09,0.9746093809604645,Neutral
2015-10,0.9338112056255341,Neutral
2015-11,0.9023920118808746,Neutral
2015-12,0.9570278346538543,Neutral
2016-01,0.9652811646461487,Neutral
2016-02,0.9614281415939331,Neutral
2016-03,0.9386050641536713,Neutral
2016-04,0.980952137708664,Neutral
2016-05,0.9464376091957092,Neutral
2016-06,0.9592561185359955,Neutral
2016-07,0.9048908650875092,Negative
2016-08,0.9179193437099457,Neutral
2016-09,0.9573334157466888,Neutral
2016-10,0.9990940272808075,Neutral
2016-11,0.942045944929123,Neutral
2016-12,0.9769541442394256,Neutral
2017-01,0.9412524998188019,Neutral
2017-02,0.8655270755290985,Neutral
2017-03,0.9264900088310242,Neutral
2017-04,0.9151483565568924,Neutral
2017-05,0.927861088514328,Neutral
2017-06,0.9429056346416473,Neutral
2017-07,0.9342579364776611,Neutral
2017-08,0.9568044662475585,Negative
2017-09,0.9022053837776184,Negative
2017-10,0.9645491302013397,Neutral
2017-11,0.954185301065445,Neutral
2017-12,0.9359936475753784,Neutral
2018-01,0.9324065446853638,Neutral
2018-02,0.9289652943611145,Neutral
2018-03,0.9268467247486114,Neutral
2018-04,0.8677195250988007,Neutral
2018-05,0.9951265931129456,Neutral
2018-06,0.9166943490505218,Neutral
2018-07,0.9247593522071839,Neutral
2018-08,0.9478102147579193,Neutral
2018-09,0.9761138379573822,Neutral
2018-10,0.9803153038024902,Neutral
2018-11,0.828025609254837,Neutral
2018-12,0.9853220343589782,Neutral
2019-01,0.9604946136474609,Neutral
2019-02,0.9556121528148651,Neutral
2019-03,0.9195477306842804,Neutral
2019-04,0.9509401798248291,Neutral
2019-05,0.9942978084087372,Neutral
2019-06,0.9306521207094193,Neutral
2019-07,0.974232816696167,Neutral
2019-08,0.9702169060707092,Neutral
2019-09,0.9737033128738404,Neutral
2019-10,0.9704977154731751,Neutral
2019-11,0.9816792368888855,Neutral
2019-12,0.9903118371963501,Neutral
2020-01,0.9684918522834778,Neutral
2020-02,0.9121378242969513,Neutral
2020-03,0.980143940448761,Neutral
2020-04,0.9600194275379181,Neutral
2020-05,0.9305399537086487,Neutral
2020-06,0.9559701263904572,Neutral
2020-07,0.9946959912776947,Neutral
2020-08,0.9776394367218018,Neutral
2020-09,0.9675688564777374,Neutral
2020-10,0.9373557329177856,Neutral
2020-11,0.9954701602458954,Neutral
2020-12,0.8733239889144897,Neutral
2021-01,0.9838023483753204,Neutral
2021-02,0.9629426956176758,Neutral
2021-03,0.8973969995975495,Neutral
2021-04,0.9584759116172791,Neutral
2021-05,0.9547833144664765,Neutral
2021-06,0.8362243413925171,Neutral
2021-07,0.9920600831508637,Neutral
2021-08,0.9606769323348999,Neutral
2021-09,0.9511736512184144,Negative
2021-10,0.9462053120136261,Neutral
2021-11,0.9721325993537903,Negative
2021-12,0.9348721146583557,Neutral
